time,temperature_2m_max,temperature_2m_min,precipitation_sum,date,year,month
2021-06-04,23.1,15.7,0.1,2021-06-04,2021,6
2021-06-05,27.2,13.3,0.0,2021-06-05,2021,6
2021-06-06,27.2,15.0,0.0,2021-06-06,2021,6
2021-06-07,26.3,13.4,0.0,2021-06-07,2021,6
2021-06-08,25.9,14.4,0.0,2021-06-08,2021,6
2021-06-09,26.2,11.9,0.0,2021-06-09,2021,6
2021-06-10,27.4,16.0,0.2,2021-06-10,2021,6
2021-06-11,26.8,16.1,0.0,2021-06-11,2021,6
2021-06-12,20.3,15.4,3.5,2021-06-12,2021,6
2021-06-13,19.0,11.2,0.1,2021-06-13,2021,6
2021-06-14,25.7,9.5,0.0,2021-06-14,2021,6
2021-06-15,24.5,15.9,1.2,2021-06-15,2021,6
2021-06-16,27.1,12.2,0.0,2021-06-16,2021,6
2021-06-17,32.6,18.5,0.0,2021-06-17,2021,6
2021-06-18,33.4,20.0,0.0,2021-06-18,2021,6
2021-06-19,34.5,21.0,0.0,2021-06-19,2021,6
2021-06-20,33.0,21.0,1.5,2021-06-20,2021,6
2021-06-21,30.8,20.5,2.5,2021-06-21,2021,6
2021-06-22,21.2,18.0,0.0,2021-06-22,2021,6
2021-06-23,20.6,13.6,0.7,2021-06-23,2021,6
2021-06-24,20.4,13.7,3.7,2021-06-24,2021,6
2021-06-25,22.9,13.9,0.1,2021-06-25,2021,6
2021-06-26,25.5,14.1,0.3,2021-06-26,2021,6
2021-06-27,25.9,12.9,0.0,2021-06-27,2021,6
2021-06-28,29.8,16.5,0.0,2021-06-28,2021,6
2021-06-29,29.1,19.5,0.4,2021-06-29,2021,6
2021-06-30,19.6,16.8,41.3,2021-06-30,2021,6
2021-07-01,17.5,14.6,28.7,2021-07-01,2021,7
2021-07-02,22.4,15.7,0.3,2021-07-02,2021,7
2021-07-03,23.0,14.9,0.2,2021-07-03,2021,7
2021-07-04,24.5,14.9,0.0,2021-07-04,2021,7
2021-07-05,22.8,17.0,0.9,2021-07-05,2021,7
2021-07-06,28.5,15.6,0.2,2021-07-06,2021,7
2021-07-07,21.8,16.9,12.9,2021-07-07,2021,7
2021-07-08,21.9,15.6,1.5,2021-07-08,2021,7
2021-07-09,20.3,16.0,12.0,2021-07-09,2021,7
2021-07-10,23.4,14.9,4.7,2021-07-10,2021,7
2021-07-11,26.0,15.9,0.0,2021-07-11,2021,7
2021-07-12,25.1,17.2,3.3,2021-07-12,2021,7
2021-07-13,28.2,17.3,0.2,2021-07-13,2021,7
2021-07-14,26.6,18.4,1.1,2021-07-14,2021,7
2021-07-15,25.1,15.9,0.6,2021-07-15,2021,7
2021-07-16,28.0,17.2,0.2,2021-07-16,2021,7
2021-07-17,26.4,18.8,4.5,2021-07-17,2021,7
2021-07-18,25.5,16.5,0.0,2021-07-18,2021,7
2021-07-19,19.6,13.6,0.1,2021-07-19,2021,7
2021-07-20,20.1,13.0,0.2,2021-07-20,2021,7
2021-07-21,21.4,14.4,0.2,2021-07-21,2021,7
2021-07-22,21.9,16.6,1.1,2021-07-22,2021,7
2021-07-23,23.9,14.4,1.5,2021-07-23,2021,7
2021-07-24,28.0,14.9,0.0,2021-07-24,2021,7
2021-07-25,28.6,20.2,2.0,2021-07-25,2021,7
2021-07-26,28.5,19.1,1.0,2021-07-26,2021,7
2021-07-27,26.2,19.0,0.2,2021-07-27,2021,7
2021-07-28,24.0,17.0,1.9,2021-07-28,2021,7
2021-07-29,23.9,17.2,0.4,2021-07-29,2021,7
2021-07-30,25.6,13.8,0.0,2021-07-30,2021,7
2021-07-31,24.1,17.2,0.0,2021-07-31,2021,7
2021-08-01,21.6,14.8,0.8,2021-08-01,2021,8
2021-08-02,21.6,14.4,0.0,2021-08-02,2021,8
2021-08-03,20.9,12.6,0.8,2021-08-03,2021,8
2021-08-04,21.5,14.8,3.1,2021-08-04,2021,8
2021-08-05,22.8,13.8,2.6,2021-08-05,2021,8
2021-08-06,23.8,15.4,3.9,2021-08-06,2021,8
2021-08-07,23.3,15.1,3.7,2021-08-07,2021,8
2021-08-08,22.8,15.8,0.3,2021-08-08,2021,8
2021-08-09,23.1,13.4,0.6,2021-08-09,2021,8
2021-08-10,21.9,13.4,4.8,2021-08-10,2021,8
2021-08-11,21.7,14.4,0.9,2021-08-11,2021,8
2021-08-12,26.5,12.8,0.0,2021-08-12,2021,8
2021-08-13,28.6,16.4,0.0,2021-08-13,2021,8
2021-08-14,26.5,15.1,0.1,2021-08-14,2021,8
