date,pm10,pm25,no2,no,nox,o3,co,toluene,carbon_monoxide,sulfur_dioxide
2022-07-16,11.0,6.0,10.0,3.0,15.0,56.0,0.2,0.7,0.2,
2022-07-17,15.0,8.0,15.0,4.0,20.0,54.0,0.3,1.3,0.2,
2022-07-18,21.0,10.0,32.0,8.0,43.0,57.0,0.6,3.5,0.3,
2022-07-19,28.0,9.0,30.0,6.0,38.0,84.0,0.6,2.3,0.2,
2022-07-20,34.0,11.0,35.0,7.0,45.0,94.0,0.6,2.3,0.3,
2022-07-21,29.0,15.0,28.0,6.0,37.0,87.0,0.6,1.9,0.3,
2022-07-22,15.0,10.0,18.0,7.0,29.0,66.0,0.4,1.4,0.3,
2022-07-23,15.0,9.0,12.0,3.0,16.0,61.0,0.3,0.9,0.2,
2022-07-24,11.0,6.0,17.0,3.0,21.0,73.0,0.3,1.3,0.2,
2022-07-25,22.0,10.0,24.0,6.0,33.0,88.0,0.4,1.8,0.2,
2022-07-26,14.0,8.0,20.0,11.0,37.0,52.0,0.4,1.6,0.2,
2022-07-27,13.0,6.0,18.0,9.0,32.0,56.0,0.3,1.1,0.2,
2022-07-28,19.0,8.0,18.0,6.0,26.0,68.0,0.4,1.1,0.2,
2022-07-29,24.0,9.0,18.0,5.0,25.0,80.0,0.4,1.0,0.2,
2022-07-30,22.0,7.0,12.0,2.0,15.0,71.0,0.2,0.8,0.2,
2022-07-31,22.0,11.0,20.0,3.0,23.0,76.0,0.5,2.1,0.2,
2022-08-01,13.0,8.0,16.0,6.0,25.0,60.0,0.3,1.0,0.2,
2022-08-02,22.0,9.0,21.0,6.0,30.0,68.0,0.4,1.6,0.2,
2022-08-03,31.0,11.0,37.0,7.0,47.0,68.0,0.8,3.4,0.3,
2022-08-04,36.0,11.0,40.0,6.0,49.0,77.0,0.9,3.8,0.3,
2022-08-05,18.0,9.0,17.0,3.0,21.0,82.0,0.4,1.3,0.2,
2022-08-06,9.0,5.0,8.0,3.0,12.0,59.0,0.2,0.6,0.2,
2022-08-07,14.0,7.0,11.0,2.0,13.0,70.0,0.3,0.9,0.2,
2022-08-08,23.0,8.0,17.0,6.0,25.0,71.0,0.4,1.3,0.2,
2022-08-09,19.0,7.0,8.0,2.0,11.0,73.0,0.2,0.5,0.1,
2022-08-10,21.0,8.0,12.0,3.0,17.0,74.0,0.2,0.7,0.2,
2022-08-11,32.0,9.0,21.0,7.0,30.0,76.0,0.5,1.4,0.2,
2022-08-12,29.0,8.0,24.0,7.0,35.0,70.0,0.4,1.4,0.2,
2022-08-13,29.0,12.0,13.0,2.0,15.0,80.0,0.4,1.1,0.2,
2022-08-14,25.0,12.0,14.0,2.0,16.0,86.0,0.3,1.1,0.2,
2022-08-15,27.0,15.0,24.0,8.0,36.0,68.0,0.5,1.5,0.3,
2022-08-16,32.0,17.0,42.0,14.0,63.0,59.0,0.9,3.9,0.4,
2022-08-17,32.0,14.0,41.0,14.0,62.0,74.0,1.1,4.6,0.4,
2022-08-18,49.0,16.0,31.0,6.0,40.0,99.0,0.6,2.1,0.3,
2022-08-19,21.0,16.0,17.0,4.0,23.0,72.0,0.4,1.3,0.3,
2022-08-20,21.0,16.0,17.0,4.0,23.0,57.0,0.4,1.3,0.3,
2022-08-21,15.0,8.0,14.0,3.0,18.0,54.0,0.3,1.2,0.2,
2022-08-22,17.0,9.0,22.0,9.0,35.0,54.0,0.5,1.9,0.2,
2022-08-23,16.0,9.0,10.0,2.0,13.0,62.0,0.2,0.7,0.2,
2022-08-24,22.0,13.0,13.0,4.0,19.0,55.0,0.3,1.0,0.2,
2022-08-25,34.0,17.0,14.0,3.0,18.0,57.0,0.4,1.2,0.2,
2022-08-26,37.0,19.0,24.0,5.0,31.0,60.0,0.5,1.6,0.3,
2022-08-27,18.0,13.0,10.0,2.0,11.0,63.0,0.3,0.9,0.2,
2022-08-28,20.0,12.0,12.0,3.0,17.0,46.0,0.3,1.0,0.2,
2022-08-29,16.0,10.0,23.0,14.0,44.0,44.0,0.5,1.8,0.3,
2022-08-30,12.0,7.0,11.0,4.0,17.0,43.0,0.2,0.8,0.2,
2022-08-31,9.0,5.0,9.0,2.0,12.0,53.0,0.2,0.6,0.2,
2023-05-01,22.0,14.0,28.0,9.0,41.0,66.0,,,0.4,
2023-05-02,17.0,11.0,22.0,8.0,34.0,64.0,,,0.2,
2023-05-03,17.0,9.0,21.0,8.0,33.0,69.0,,,0.2,
2023-05-04,20.0,10.0,28.0,14.0,48.0,67.0,,,0.3,
2023-05-05,27.0,11.0,16.0,5.0,23.0,74.0,,,0.2,
2023-05-06,15.0,11.0,10.0,3.0,14.0,49.0,,,0.2,
2023-05-07,14.0,10.0,10.0,3.0,14.0,75.0,,,0.2,
2023-05-08,20.0,10.0,28.0,14.0,50.0,63.0,,,0.3,
2023-05-09,25.0,10.0,28.0,14.0,49.0,73.0,,,0.3,
2023-05-10,26.0,12.0,32.0,15.0,55.0,62.0,,,0.3,
2023-05-11,26.0,13.0,36.0,18.0,63.0,53.0,,,0.4,
2023-05-12,26.0,12.0,20.0,5.0,27.0,88.0,,,0.2,
2023-05-13,25.0,12.0,17.0,3.0,22.0,82.0,,,0.3,
2023-05-14,25.0,14.0,24.0,4.0,29.0,74.0,,,0.3,
2023-05-15,26.0,16.0,32.0,7.0,43.0,62.0,,,0.3,
2023-05-16,18.0,11.0,20.0,10.0,34.0,62.0,,,0.2,
2023-05-17,14.0,7.0,16.0,6.0,25.0,64.0,,,0.2,
2023-05-18,11.0,6.0,5.0,2.0,7.0,72.0,,,0.2,
2023-05-19,12.0,7.0,15.0,5.0,22.0,63.0,,,0.2,
2023-05-20,17.0,12.0,11.0,2.0,14.0,62.0,,,0.2,
2023-05-21,27.0,16.0,12.0,2.0,14.0,83.0,,,0.2,
2023-05-22,23.0,10.0,26.0,8.0,38.0,79.0,,,0.2,
